id,municipio,nombre,direccion,lunesViernes,horarioSabado,horarioDomingo ,picoyCedula,pcLunes,pcMartes,pcMiercoles,pcJueves,pcViernes,pcSabado,pcDomingo,domicilioDirecto,whatsappDomicilio,telefono
,CARMEN DE BOLIVAR,CARMEN DE BOLIVAR,Carrera 52 No. 23 - 12,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,1,,,,"2 y 4 de 7:00 AM A 2:00 PM
6-8-0 de 2:00  PM A 9:00 PM","5-7-9 de 7:00 AM A 2:00 PM
1 y 3 de 2:00  PM A 9:00 PM","6-8-0  de 8:00 AM A 2:00 PM
2 y 4 de 2:00  PM A 8:00 PM","1 y 3 de 7:00 AM A 2:00 PM
5-7-9 de 2:00  PM A 9:00 PM",3185896003,"3232078925
3187119292",-
,MAGANGUE,MAGANGUÉ,Calle 15 No. 6 - 135,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,8:00 AM A 4:00 PM,1,,,,,,,,3176399889,"3232078928
3187119291",-
,FONSECA,FONSECA,Calle 13 No. 18 -51,7:00 AM A 7:00 PM,7:00 AM A 7:00 PM,7:00 AM A 5:00 PM,,"2,3,4","5,6,7","8,9,0","1,2,3","3,4,5,","6,7,8","9,0,1",3182669464,"3232105521
3187119296",5891019
,VALLEDUPAR,SAO VALLEDUPAR,Diagonal 16 No. 17 - 69,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3187120763,-,5891019
,VALLEDUPAR,VALLEDUPAR CORTIJO,Calle 11 No. 19 - 8,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3187120763,3152533928,5891019
,AGUSTIN CODAZZI,CODAZZI,Carrera 18 No. 20 - 35 Esquina,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,3187120907,5891019
,SAN JUAN CESAR,SAN JUAN DEL CESAR,Carrera 8 No. 8 - 05,7:00 AM A 6:00 PM,7:00 AM A 6:00 PM,8:00 AM A 6:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,5891019
,VALLEDUPAR,SIERRA NEVADA VALLEDUP,Lote Norte Av. Sierra Nevada,7:00 AM A 9:00 PM,6:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3187120763,-,5891019
,AGUACHICA,SAO AGUACHICA Cr 23,Calle 5 No. 23 - 73,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,NA,NA,NA,NA,N/A,N/A,N/A,3174284377,-,5891019
,BOSCONIA,BOSCONIA,Calle 18 No. 20 - 25,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,8:00 AM A 7:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,5891019
